Hospital Name,Address,LATITUDE,LONGITUDE
Karuna Hospital,"D-62, Dilshad Colony",28.689051,77.323175
Eye Q Super Speciality Eye Hospital,Shalimar Bagh,29.930098,77.905052
Centre For Sight-Ashok Vihar,"B2/6, Ashok Vihar, Phase-2",28.693639,77.175901
Mahajan Eye Centre,"Ad-21A, Pitampura, Outer Ring Road, Near Pitampura Metro Station",28.707554,77.134728
Mangalam Medical & Surgical Centre,"154/81, Main Bawana Road, Pooth Khurd",28.773368,77.048235
Kesar Hospital,"C-480, Chawla Colony,Ballabhgarh",28.344643,77.217874
North Eastern Medical Research Institute Limited,"A.M. Road, Rehabari",26.172232,91.748475
Irene Hospital (Nirmaya Hospital (A Unit Of Delphi Healthcare Research Institute Pvt. Ltd),"Dd-23, Kalkaji",28.544719,77.258731
Bimal Hospital,"17/1, Near Bhuto Wali Gali",28.698418,77.065556
Venu Eye Institute & Research Centre,"Plot No-1, Facility Centre-3, Sheikh Sarai",28.550148,77.220051
R G Stone Urology & Laparoscopy Hospital,"18, Gagan Vihar",28.653537,77.295633
Rescue Hospital India Pvt Ltd,S 5 Vishwas Park Behind Sector 3 Petrol Pump Dwarka,28.597692,77.06248
Joy Nursing Home,J-5/49 E & F Rajouri Garden,28.649018,77.121102
Life Line Hospital,Plot No 42 Sector 12 B Dwarka,28.621898,77.047703
Centre For Sight (Preet Vihar),"F-19 Vikas Marg, Preet Vihar, Nr Preet Vihar Metro Station",28.642521,77.296111
Eye 7 Hospital Pvt Ltd,"B-6, Kalindi Colony (Maharani Bagh) Facing Inner Ring Road",28.647813,77.189757
Centre For Sight-Dwarka,"Plot No-20, Dwarka Sector 12 A, Opposite Bal Bharti School, Dwarka",28.596434,77.040834
Medfort Hospital,A3/24 -3Rd Floor Janakpuri,28.63124,77.080421
Bhagat Chandra Hospital (A Unit Of Bhagat Hospitals (P) Ltd.),"Rz-F1/1, Mahavir Enclave, Near Dwarka Airport Flyover",28.593185,77.081144
Virmani Hospital Pvt Ltd,"Plot No-8, Lsc, Mayur Vihar Phase-2, East, N.H.-24",28.619564,77.301241
Vasan Eye Care Hospital-Pitampura,"Plot No 500 Pwd Road No 1 Kohat Enclave Opp Metro Pillar 345 Pitampura, New Delhi - 110034, Delhi",28.69894,77.139102
Rotary Eye Care Centre,"#57, Tughlakabad Institutional Area",28.512905,77.242089
Vasan Eye Care Hospital ( Aunit Of Vasan Health Care Pvt Ltd)-Panchsheel Park,"S-61, Panchsheel Park, New Delhi - 110017, Delhi",28.542811,77.214057
Vasan Eye Care Hospital (A Unit Of Vasan Health Care Pvt Ltd)- Greater Kailash,"E 16,Greater Kailash 1, Opp. Hsbc Bank, New Delhi - 110048, Delhi",28.548661,77.241209
Fortis C-Doc Health Care Ltd.,"B-16, Chirag Enclane (Opp.Nehru Place)",28.546515,77.248355
Vikas Hospital Pvt Ltd,"1629-H, Thana Road, Najafgarh",28.611036,76.980917
Artemis Hospital,"Plot No. 14, Sector 20, Dwarka",28.56888,77.062045
Parth Hospital,"84,Sewak Park,Dwaraka More,New Delhi",28.618941,77.032774
Sunrise Hospital(A Unit Of Trinity Sunrise Healthcare Pvt. Ltd),"F-1,,Kalindi Colony,",28.577004,77.265937
Chinmaya Vision,"28, Bhera Enclave,Outer Ring Road,Paschim Vihar",28.670107,77.092502
Isis Hospital Pvt Ltd,"M-4, Greater Kailash-1",0.0,0.0
Ravi Eye Foundation,"B-8, Ganesh Nagar",0.0,0.0
Eye Sight Laser Centre,"52A, DDA, Pocket 2, Behind Sec-6, Main Market, Dwarka",0.0,0.0
Irene Swasthik Hospital,"A-9, Raghuvir Enclave, Diachaun Chowk, Nangloi Stand, Najafgarh",28.609279,77.185514
