Hospital Name,Address,LATITUDE,LONGITUDE
Sir Ganga Ram Kolmet Hospital,"7-B, Pusa Road, Karol Bagh, Opp. Metro Pillar No.112",28.651729,77.185083
Krishna Hospital,"9, Chanderlok Enclave, Pitampura",28.727926,77.145893
Kuber Hospital,"12 Chender Lok Enclave, Pitampura",28.714114,77.14659
Kukreja Hospital And Heart Centre Pvt Ltd.,"C-1, Vishal Enclave, Rajouri -27.Garden",28.652106,77.116543
Kalawati Kaustubh Hospital (P) Ltd,"2-Inder Enclave, Main Rohtak-Road, Peeragarhi",28.680197,77.083487
Khanna Nursing Home,"C4F/245, Janakpuri",28.630072,77.079514
Lamba Hospital & Nursing Home,B1/453 Janak Puri,28.637568,77.08037
Lata Hospital,"Ag 35, Shalimar Bagh",28.711969,77.162081
Lok Clinic,"A-2-7, Janakpuri, Opp. Jeewan Park",28.627021,77.071444
Lotus Hospital,"Wz-409-A, Janakpark, Harinagar",28.627624,77.110842
M.K.W.Jan Kalyan Charitable Trust,"J- Block, Community Centre, Rajourt Garden",28.643594,77.099201
Mahesh Hospital,"Patparganj Society Complex , D-437, Main Road, West Vinod Nagar, East",28.628453,77.308038
Mahindru Hospital,"E-1Dz, Kiran Garden, Uttam Nagar",28.636363,77.066242
Makkar Medical Centre,A-1Priyadarshini Vihar,28.632295,77.277291
Malhotra Heart Institute,"14, Ring Road, Lajpat Nagar-Iv",28.565075,77.242703
Malik Radix Health Care,"C-218, Nirman Vihar",28.640732,77.287419
Mata Chanan Devi Hospital,"C-1, Janak Puri",28.626117,77.078653
Max Devki Devi Heart & Vascular Institute-Saket,"# 2, Press Enclave Road, Saket",28.528809,77.209333
Max Healthcare Institute Ltd-Pitampura,"A-1, 2, 3, Netaji Subhash Place, Hb Twin, Towers, Wazirpur Distt. Centre, Pitampura",28.727926,77.143147
Max Medcentre,"N-110, Panchsheel Park",28.689985,77.358067
Mohinder Hospital,"C-5, Green Park Extention",28.559967,77.205474
Monga Medical Centre,J-10 Krishan Nagar,28.647813,77.29426
Moolchand Hospital,Lajpat Nagar-111,28.573065,77.236925
"Max Super Speciality Hospital, Patparganj (Balaji Medical And Diagnostic Research Centre).","No-108-A, I.P. Extension, Patparganj",28.636363,77.309392
Mmr Eye Institute,"B-15, Swasthya Vihar",28.644197,77.289308
National Heart Institute,"49, Community Centre, 110 065 East Of Kailash",28.564622,77.244478
Navjeewan Medical Centre,"T-655, Onkar Nagar 'B', Trinagar",28.674775,77.161872
Navjyoti Eye Centre,"# 90, Darya Ganj",28.645553,77.240403
Netrayatan,"S-371, Greater Kailash Ii",28.535728,77.241952
New Medical Centre,"B-39, Moti Nagar, Near Acharya Bikshu Hospital",28.661577,77.141208
Nijhara Hospital (P) Ltd,"#2979/3, Ranjit Nagar, Near Shiv Mandir",28.649319,77.169316
Adiva Hospital Pvt. Ltd.,C- 1/C Green Park Ext,28.538687,77.202198
Nulife Hospital & Maternity Centre,"1616, Outram Lines, Kingswamy Camp, G-T-B Nagar",28.704892,77.20897
Orchid Hospital & Heart Centre,"C-3/91, 92 Janakpuri",28.620843,77.097839
Orthonova Hospital,C-5/29. S.D.A,28.549677,77.19953
Orthoplus Hospital,"B-28, Gopal Nagar, Najafgarh",28.723711,77.180912
Park Hospital,"12, Chowkhandi Near Keshopur Depot (W), Outer Ring",28.64962,77.08449
Patel Hospital,"U-158, Vats Complex, Shakarpurmain Vikas Marg",28.632747,77.281259
Phoenix Hospital,"E 60, Greater Kailash Part 1 Near Axis Bank Branch Gk",28.548828,77.237442
Prashanti Nursing Home,"H-32/9/Sector-3, Rohini",28.614062,77.039515
Paramtej Sehra Medical & Research Centre,"29-North West Avenue, Club Road",28.667188,77.12196
Pushpanjali Medical Centre,"A-14-15, Pushpanjali, Vikash Marg Extn",28.650223,77.337467
Pushpawati Singhania Research Institute,"Press Enclave Marg, Sheikh Sar",28.533466,77.225536
R.G.Stone Urological & Laparoscopy Hospital,"F12, East Of Kailsh",28.561607,77.242762
Rockland Hospital,"B-33-34, Qutub Institutional, Area",28.553164,77.183659
Ram Lal Kundan Lal Orthopadic Hospital,"Bunglow Plot # 8, Mayur Vihar, Patparganj Road",28.618432,77.282956
Rao Raghubir Hospital & Maternity Centre,"Najafgarh Road, Kamruddin Nagar More",28.663215,77.051794
Sama Nursing Home,"8, Siri Fort Road",28.570653,77.229664
Saroj Hospital And Heart Institute,"Sec-14, (Extn), Madhuban Chowk, Near Delhi Fire Service",28.710162,77.128461
Sanjeevan Medical Centre,"8666 Ara Kasha Road Hospital Lane -55 Arakashan Road, Paharganj",28.646796,77.215727
